Time	Early	Early	Late	Late	Late	Late	Late	Late	Late	Late	Late	Late	Early	Early	Early	Early	Early	Early	Early
Bacteria|Deinococcota|Deinococci|Deinococcales|Deinococcaceae	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Deinococcota|Deinococci|Deinococcales|Deinococcaceae|Deinococcus	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Deinococcota|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|radiodurans	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003436426	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes	0.4244792	0.6314531	0.2889163	0.1923840	0.2736299	0.2221904	0.1743986	0.3650425	0.2272028	0.2536487	0.3328640	0.3419811	0.3855658	0.2631579	0.4335307	0.3470579	0.1984823	0.4330328	0.4362427
Bacteria|Firmicutes|Bacilli	0.05238971	0.08909707	0.07464528	0.09202697	0.08220810	0.13331422	0.09364261	0.06238721	0.08965093	0.09793659	0.08767483	0.04646226	0.05476685	0.14168640	0.04628633	0.08624046	0.05454114	0.06993622	0.05103907
Bacteria|Firmicutes|Bacilli|Acholeplasmatales	0.0128676471	0.0095674706	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005154639	0.0000000000	0.0019990773	0.0000000000	0.0000000000	0.0000000000	0.0048114048	0.0027317429	0.0000000000	0.0008983381	0.0045055727	0.0024191775	0.0049875312
Bacteria|Firmicutes|Bacilli|Acholeplasmatales|Acholeplasmataceae	0.0128676471	0.0095674706	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005154639	0.0000000000	0.0019990773	0.0000000000	0.0000000000	0.0000000000	0.0048114048	0.0027317429	0.0000000000	0.0008983381	0.0045055727	0.0024191775	0.0049875312
Bacteria|Firmicutes|Bacilli|Acholeplasmatales|Acholeplasmataceae|Anaeroplasma	0.0128676471	0.0095674706	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005154639	0.0000000000	0.0019990773	0.0000000000	0.0000000000	0.0000000000	0.0048114048	0.0027317429	0.0000000000	0.0008983381	0.0045055727	0.0024191775	0.0049875312
Bacteria|Firmicutes|Bacilli|Acholeplasmatales|Acholeplasmataceae|Anaeroplasma|NA	0.0128676471	0.0095674706	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0005154639	0.0000000000	0.0019990773	0.0000000000	0.0000000000	0.0000000000	0.0048114048	0.0027317429	0.0000000000	0.0008983381	0.0045055727	0.0024191775	0.0049875312
Bacteria|Firmicutes|Bacilli|Erysipelotrichales	0.012254902	0.000000000	0.021180341	0.021420071	0.015885624	0.032396789	0.021649485	0.009022944	0.023835153	0.027377957	0.016615038	0.007075472	0.001009801	0.004370789	0.009687836	0.000000000	0.000000000	0.001319551	0.000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae	0.0000000000	0.0000000000	0.0000000000	0.0007933360	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003075504	0.0002013085	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|NA	0.0000000000	0.0000000000	0.0000000000	0.0007933360	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003075504	0.0002013085	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelatoclostridiaceae|NA|NA	0.0000000000	0.0000000000	0.0000000000	0.0007933360	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0003075504	0.0002013085	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae	0.012254902	0.000000000	0.021180341	0.020626735	0.015885624	0.032396789	0.021649485	0.009022944	0.023527603	0.027176648	0.016615038	0.007075472	0.001009801	0.004370789	0.009687836	0.000000000	0.000000000	0.001319551	0.000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter	0.012254902	0.000000000	0.021180341	0.020626735	0.015885624	0.032396789	0.021649485	0.009022944	0.023527603	0.027176648	0.016615038	0.007075472	0.001009801	0.004370789	0.009687836	0.000000000	0.000000000	0.001319551	0.000000000
Bacteria|Firmicutes|Bacilli|Erysipelotrichales|Erysipelotrichaceae|Turicibacter|NA	0.012254902	0.000000000	0.021180341	0.020626735	0.015885624	0.032396789	0.021649485	0.009022944	0.023527603	0.027176648	0.016615038	0.007075472	0.001009801	0.004370789	0.009687836	0.000000000	0.000000000	0.001319551	0.000000000
Bacteria|Firmicutes|Bacilli|Lactobacillales	0.01700368	0.05780347	0.04626774	0.05751686	0.05281970	0.09461009	0.06494845	0.05130188	0.05505151	0.05445395	0.06711724	0.03396226	0.02506683	0.07193590	0.03202368	0.07426261	0.04078729	0.06179899	0.03906899
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.01700368	0.05660753	0.04626774	0.05751686	0.05281970	0.09461009	0.06494845	0.05130188	0.05505151	0.05445395	0.06711724	0.03396226	0.02465102	0.07066108	0.03202368	0.07426261	0.04078729	0.06179899	0.03906899
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.01700368	0.05660753	0.04626774	0.05751686	0.05281970	0.09461009	0.06494845	0.05130188	0.05505151	0.05445395	0.06711724	0.03396226	0.02465102	0.07066108	0.03202368	0.07426261	0.04078729	0.06179899	0.03906899
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|NA	0.01700368	0.05660753	0.04626774	0.05751686	0.05281970	0.09461009	0.06494845	0.05130188	0.05505151	0.05445395	0.06711724	0.03396226	0.02465102	0.07066108	0.03202368	0.07426261	0.04078729	0.06179899	0.03906899
